 |       | ggF_{dark}      | VBF_{dark}      | ZH_{dark}      | W#gamma      | j~>#gamma      | e~>#gamma      | #gammaj (direct)      | Z#gamma |
 | ff_jy | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.108252 / -0.107536 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ff_ey | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0383898 / -0.037603 | 0 / 0 | 0 / 0 |
 | scf_ey_syst | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0391951 / -0.0383286 | 0 / 0 | 0 / 0 |
 | gamma_stat_SRdavid_bin_0 | 0.00364644 / -0.00361475 | 0.00366672 / -0.00363485 | 0.00343425 / -0.00340439 | 0.00333503 / -0.00330604 | 0.00280981 / -0.00278539 | 0.00931028 / -0.00922934 | 0.000948117 / -0.000939874 | 0.00210368 / -0.00208539 |
 | gamma_stat_SRdavid_bin_1 | 0.00712738 / -0.00708249 | 0.00713667 / -0.00709173 | 0.00683318 / -0.00679014 | 0.00361544 / -0.00359267 | 0.00466604 / -0.00463666 | 0.0019467 / -0.00193444 | 0.00416223 / -0.00413601 | 0.00350605 / -0.00348397 |
 | gamma_stat_SRdavid_bin_2 | 0.00158065 / -0.00156041 | 0.00153395 / -0.0015143 | 0.00205134 / -0.00202507 | 0.00574275 / -0.0056692 | 0.00563893 / -0.00556671 | 0.0011564 / -0.00114159 | 0.0103091 / -0.0101771 | 0.00674414 / -0.00665776 |
 | gamma_stat_SRdavid_bin_3 | 0 / 0 | 1.66046e-06 / -1.63257e-06 | 0.000417319 / -0.000410309 | 0.00253529 / -0.0024927 | 0.00150207 / -0.00147684 | 0.000308424 / -0.000303243 | 0.000123793 / -0.000121713 | 0.00386755 / -0.00380259 |
 | it{B}_{dark} | 0.409441 / -0.404116 | 0.409441 / -0.404116 | 0.409441 / -0.404116 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k_{W}} | 0 / 0 | 0 / 0 | 0 / 0 | 0.028253 / -0.0278548 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k_{Z}} | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0817991 / -0.0798367 |
